iter	Passed	Remaining
0	140	140727
1	143	71619
2	145	48341
3	147	36717
4	149	29778
5	151	25116
6	153	21804
7	155	19316
8	157	17392
9	159	15838
10	162	14565
11	163	13500
12	165	12589
13	168	11836
14	170	11166
15	171	10577
16	173	10058
17	175	9599
18	177	9187
19	179	8814
20	182	8491
21	183	8179
22	186	7903
23	188	7651
24	190	7412
25	191	7191
26	193	6984
27	195	6797
28	198	6633
29	200	6480
30	202	6320
31	204	6175
32	206	6038
33	207	5908
34	209	5786
35	212	5679
36	214	5573
37	216	5482
38	218	5385
39	220	5287
40	222	5197
41	224	5111
42	226	5030
43	228	4971
44	230	4897
45	232	4824
46	234	4759
47	236	4695
48	239	4640
49	241	4596
50	244	4545
51	246	4493
52	248	4443
53	250	4388
54	252	4335
55	254	4285
56	256	4245
57	258	4201
58	260	4156
59	262	4112
60	264	4069
61	266	4027
62	267	3985
63	269	3948
64	272	3916
65	274	3883
66	276	3850
67	277	3804
68	279	3773
69	281	3741
70	283	3710
71	285	3681
72	288	3657
73	290	3631
74	292	3603
75	294	3574
76	295	3547
77	297	3521
78	299	3494
79	301	3470
80	304	3450
81	306	3426
82	308	3402
83	309	3378
84	311	3349
85	313	3327
86	314	3299
87	317	3286
88	320	3282
89	322	3259
90	324	3240
91	326	3220
92	328	3202
93	330	3184
94	333	3173
95	335	3158
96	337	3139
97	339	3121
98	341	3105
99	343	3089
100	345	3073
101	346	3051
102	348	3037
103	350	3022
104	352	3007
105	354	2991
106	356	2975
107	358	2959
108	360	2943
109	362	2932
110	364	2922
111	367	2913
112	369	2903
113	371	2890
114	374	2878
115	375	2865
116	378	2858
117	381	2852
118	383	2836
119	385	2824
120	386	2811
121	388	2798
122	389	2780
123	392	2774
124	394	2763
125	396	2753
126	398	2741
127	399	2724
128	401	2714
129	403	2703
130	405	2691
131	408	2683
132	410	2674
133	412	2664
134	414	2654
135	416	2643
136	417	2632
137	419	2623
138	422	2617
139	424	2608
140	426	2598
141	428	2588
142	430	2578
143	432	2568
144	433	2558
145	435	2550
146	438	2543
147	440	2536
148	442	2528
149	444	2518
150	446	2509
151	448	2499
152	449	2490
153	452	2483
154	454	2477
155	456	2469
156	458	2461
157	460	2452
158	462	2445
159	464	2437
160	466	2430
161	468	2423
162	470	2417
163	472	2409
164	474	2401
165	476	2394
166	479	2389
167	481	2382
168	483	2374
169	485	2368
170	487	2363
171	490	2359
172	492	2354
173	495	2353
174	499	2357
175	502	2350
176	503	2342
177	505	2334
178	507	2328
179	509	2321
180	510	2311
181	513	2308
182	515	2303
183	519	2302
184	521	2296
185	523	2290
186	525	2284
187	527	2278
188	529	2272
189	531	2266
190	533	2260
191	535	2254
192	537	2247
193	539	2240
194	541	2234
195	543	2228
196	545	2221
197	547	2215
198	548	2209
199	550	2202
200	552	2196
201	554	2190
202	556	2184
203	558	2179
204	560	2173
205	562	2168
206	564	2161
207	566	2156
208	568	2151
209	570	2146
210	573	2142
211	575	2138
212	577	2133
213	579	2128
214	581	2122
215	583	2116
216	585	2111
217	587	2107
218	589	2102
219	591	2097
220	593	2091
221	595	2086
222	597	2080
223	599	2075
224	600	2070
225	603	2065
226	605	2061
227	607	2057
228	609	2052
229	611	2047
230	613	2042
231	615	2037
232	617	2033
233	620	2030
234	622	2027
235	624	2022
236	626	2016
237	628	2011
238	630	2006
239	631	2000
240	634	1996
241	636	1993
242	638	1989
243	640	1983
244	642	1978
245	644	1973
246	646	1970
247	648	1967
248	651	1965
249	653	1961
250	655	1956
251	657	1951
252	659	1946
253	661	1941
254	663	1938
255	666	1936
256	668	1932
257	670	1928
258	672	1923
259	674	1919
260	675	1914
261	678	1909
262	680	1906
263	682	1902
264	684	1898
265	686	1893
266	688	1889
267	690	1884
268	691	1880
269	693	1876
270	695	1871
271	697	1867
272	699	1862
273	701	1858
274	703	1853
275	704	1849
276	706	1845
277	708	1841
278	710	1836
279	712	1832
280	714	1828
281	716	1823
282	718	1819
283	719	1815
284	721	1810
285	723	1807
286	725	1803
287	727	1799
288	729	1795
289	731	1791
290	733	1787
291	735	1783
292	737	1779
293	739	1775
294	741	1772
295	743	1768
296	745	1764
297	747	1760
298	749	1756
299	751	1752
300	753	1749
301	755	1746
302	758	1744
303	760	1740
304	762	1736
305	764	1732
306	765	1729
307	768	1725
308	770	1721
309	772	1718
310	773	1714
311	775	1710
312	777	1707
313	779	1702
314	781	1699
315	783	1696
316	785	1692
317	787	1689
318	789	1685
319	791	1681
320	792	1677
321	794	1673
322	796	1669
323	798	1666
324	800	1662
325	802	1658
326	804	1655
327	806	1651
328	807	1647
329	809	1644
330	812	1641
331	813	1637
332	815	1633
333	817	1630
334	819	1626
335	821	1623
336	823	1619
337	825	1616
338	827	1612
339	829	1609
340	831	1606
341	833	1603
342	835	1599
343	836	1596
344	838	1592
345	840	1588
346	842	1585
347	844	1581
348	845	1577
349	847	1574
350	849	1570
351	851	1567
352	853	1563
353	855	1560
354	856	1557
355	859	1554
356	861	1551
357	863	1547
358	864	1544
359	866	1540
360	868	1537
361	870	1533
362	871	1530
363	873	1527
364	875	1523
365	877	1520
366	879	1517
367	881	1513
368	883	1510
369	885	1507
370	887	1504
371	889	1501
372	891	1498
373	893	1495
374	895	1492
375	897	1489
376	899	1486
377	901	1482
378	903	1479
379	905	1476
380	906	1473
381	908	1470
382	910	1466
383	912	1463
384	914	1460
385	916	1457
386	918	1454
387	920	1451
388	922	1448
389	924	1445
390	925	1442
391	927	1439
392	929	1435
393	931	1432
394	933	1429
395	935	1426
396	937	1423
397	939	1420
398	941	1417
399	943	1414
400	944	1411
401	946	1408
402	948	1405
403	950	1402
404	952	1399
405	954	1396
406	956	1393
407	958	1390
408	960	1387
409	962	1384
410	964	1381
411	966	1379
412	968	1376
413	970	1373
414	972	1370
415	974	1367
416	976	1364
417	977	1361
418	980	1359
419	982	1356
420	984	1353
