iter	Passed	Remaining
0	140	140803
1	143	71476
2	145	48378
3	147	36778
4	150	29896
5	152	25226
6	154	21871
7	156	19433
8	158	17494
9	160	15915
10	162	14654
11	165	13612
12	167	12697
13	169	11936
14	172	11296
15	173	10688
16	175	10158
17	177	9698
18	179	9281
19	181	8907
20	184	8617
21	186	8304
22	188	8011
23	191	7777
24	193	7538
25	195	7325
26	197	7123
27	199	6939
28	202	6766
29	203	6594
30	206	6441
31	207	6288
32	209	6151
33	212	6024
34	214	5904
35	216	5788
36	218	5674
37	220	5570
38	221	5465
39	223	5367
40	225	5274
41	227	5192
42	229	5105
43	231	5023
44	233	4950
45	235	4876
46	236	4803
47	239	4740
48	241	4682
49	243	4619
50	245	4559
51	246	4501
52	248	4443
53	250	4390
54	252	4341
55	255	4302
56	257	4255
57	259	4210
58	261	4168
59	263	4123
60	265	4079
61	266	4037
62	268	3999
63	270	3963
64	272	3925
65	274	3889
66	276	3853
67	278	3818
68	280	3786
69	282	3752
70	284	3720
71	286	3688
72	288	3659
73	290	3629
74	291	3599
75	293	3571
76	295	3544
77	297	3520
78	300	3497
79	301	3471
80	303	3447
81	305	3422
82	306	3389
83	308	3365
84	310	3344
85	312	3320
86	314	3301
87	316	3280
88	318	3260
89	320	3242
90	322	3222
91	324	3203
92	326	3183
93	328	3165
94	330	3149
95	332	3131
96	334	3113
97	336	3094
98	338	3077
99	340	3063
100	342	3048
101	344	3033
102	346	3017
103	348	3001
104	350	2986
105	352	2971
106	354	2956
107	355	2939
108	357	2925
109	360	2913
110	361	2899
111	363	2885
112	366	2873
113	368	2861
114	370	2850
115	372	2842
116	374	2827
117	376	2817
118	379	2806
119	381	2796
120	383	2784
121	384	2769
122	386	2758
123	389	2748
124	390	2736
125	393	2726
126	394	2711
127	396	2701
128	398	2692
129	400	2682
130	403	2675
131	405	2666
132	407	2657
133	409	2649
134	412	2641
135	414	2632
136	416	2623
137	418	2616
138	420	2606
139	423	2598
140	427	2601
141	428	2590
142	431	2582
143	433	2578
144	435	2570
145	437	2561
146	440	2553
147	441	2544
148	444	2535
149	446	2528
150	448	2522
151	451	2518
152	453	2510
153	455	2502
154	457	2495
155	459	2488
156	462	2480
157	464	2474
158	466	2465
159	468	2457
160	469	2446
161	471	2438
162	473	2430
163	475	2424
164	478	2422
165	480	2415
166	482	2409
167	485	2405
168	488	2402
169	491	2400
170	494	2395
171	496	2389
172	498	2383
173	500	2376
174	502	2369
175	504	2363
176	507	2359
177	509	2354
178	511	2347
179	514	2341
180	516	2336
181	519	2335
182	523	2337
183	526	2335
184	528	2330
185	531	2324
186	533	2318
187	535	2314
188	538	2311
189	540	2305
190	542	2298
191	544	2291
192	546	2286
193	548	2280
194	550	2273
195	553	2268
196	555	2264
197	557	2258
198	560	2254
199	562	2251
200	564	2245
201	567	2241
202	569	2236
203	572	2232
204	574	2226
205	576	2223
206	578	2217
207	581	2212
208	583	2207
209	585	2201
210	587	2195
211	589	2192
212	592	2187
213	593	2181
214	597	2179
215	599	2176
216	601	2171
217	603	2165
218	605	2159
219	607	2154
220	609	2148
221	611	2143
222	613	2138
223	615	2132
224	617	2127
225	619	2122
226	622	2118
227	623	2112
228	625	2107
229	628	2103
230	630	2098
231	632	2093
232	634	2088
233	636	2084
234	638	2079
235	640	2073
236	642	2069
237	645	2065
238	647	2060
239	649	2056
240	651	2052
241	653	2048
242	656	2044
243	659	2043
244	661	2039
245	663	2034
246	666	2030
247	668	2026
248	670	2022
249	673	2021
250	675	2016
251	677	2011
252	679	2007
253	682	2003
254	684	2000
255	690	2006
256	692	2001
257	694	1997
258	696	1992
259	698	1988
260	701	1984
261	702	1980
262	704	1975
263	706	1970
264	708	1965
265	710	1960
266	712	1955
267	714	1951
268	717	1949
269	719	1946
270	722	1942
271	724	1938
272	726	1934
273	728	1931
274	731	1929
275	734	1927
276	738	1927
277	740	1923
278	742	1919
279	745	1916
280	749	1917
281	752	1915
282	755	1914
283	758	1911
284	761	1910
285	763	1906
286	765	1901
287	767	1897
288	769	1893
289	771	1888
290	773	1883
291	775	1879
292	777	1875
293	779	1871
294	781	1866
295	782	1862
296	784	1857
297	786	1853
298	788	1848
299	790	1845
300	792	1841
301	794	1837
302	797	1834
303	799	1830
304	801	1826
305	803	1822
306	805	1818
307	807	1814
308	809	1810
309	811	1805
310	813	1801
311	815	1797
312	817	1793
313	819	1790
314	821	1787
315	824	1785
316	826	1781
317	828	1777
318	830	1773
319	832	1768
320	834	1765
321	836	1761
322	838	1757
323	840	1753
324	842	1749
325	844	1746
326	846	1742
327	848	1739
328	851	1735
329	852	1731
330	854	1727
331	856	1723
332	858	1719
333	860	1715
334	862	1712
335	864	1708
336	866	1705
337	868	1701
338	870	1697
339	872	1693
340	874	1689
341	876	1685
342	877	1681
343	879	1677
344	881	1674
345	883	1670
346	885	1666
347	887	1662
348	889	1658
349	891	1654
350	892	1651
351	895	1647
352	897	1644
353	898	1640
354	900	1636
355	902	1632
356	904	1629
357	906	1625
358	908	1622
359	910	1619
360	912	1615
361	914	1612
362	916	1608
363	918	1605
364	920	1601
365	922	1598
366	924	1595
367	926	1591
368	929	1589
369	931	1585
370	933	1582
371	935	1579
372	937	1576
373	940	1573
374	942	1570
375	944	1567
376	946	1563
377	988	1627
378	991	1624
379	993	1621
380	995	1618
381	998	1615
382	1000	1612
383	1005	1612
384	1007	1609
385	1010	1607
386	1013	1604
387	1018	1606
388	1021	1603
389	1023	1601
390	1026	1598
391	1028	1595
392	1031	1592
393	1035	1592
394	1037	1589
395	1039	1585
396	1041	1582
397	1044	1580
398	1046	1576
399	1049	1574
400	1061	1586
401	1065	1585
402	1068	1582
403	1070	1579
404	1073	1577
405	1076	1574
406	1078	1570
407	1080	1567
408	1082	1563
409	1084	1560
410	1086	1557
411	1089	1554
412	1091	1551
413	1095	1549
414	1098	1548
415	1100	1545
416	1103	1542
417	1105	1539
418	1108	1537
419	1111	1534
420	1113	1531
421	1115	1527
422	1117	1524
423	1120	1521
424	1123	1520
425	1126	1517
426	1127	1513
427	1130	1510
428	1132	1506
429	1134	1503
430	1136	1500
431	1138	1496
432	1140	1493
433	1142	1490
434	1145	1487
435	1147	1483
436	1148	1480
437	1151	1476
438	1153	1473
439	1155	1471
440	1158	1468
441	1160	1464
442	1162	1461
443	1164	1458
444	1166	1455
445	1169	1453
446	1172	1450
447	1175	1447
448	1176	1444
449	1178	1440
450	1180	1437
451	1182	1434
452	1186	1432
453	1188	1429
454	1190	1425
455	1192	1422
456	1194	1419
457	1196	1416
458	1198	1413
459	1201	1410
460	1203	1407
461	1205	1403
462	1207	1400
463	1209	1397
464	1212	1394
465	1214	1392
466	1216	1388
467	1218	1385
468	1220	1381
469	1222	1378
470	1224	1375
471	1227	1372
472	1229	1370
473	1231	1367
474	1233	1363
475	1235	1360
476	1237	1356
477	1239	1353
478	1241	1350
479	1243	1347
480	1245	1344
481	1247	1340
482	1249	1337
483	1252	1335
484	1254	1331
485	1256	1328
486	1258	1325
487	1260	1322
488	1262	1319
489	1264	1316
490	1266	1313
491	1268	1310
492	1270	1306
493	1272	1303
494	1274	1300
495	1276	1297
496	1278	1294
497	1280	1290
498	1282	1287
499	1284	1284
500	1286	1281
501	1288	1278
502	1290	1275
503	1292	1271
504	1294	1268
505	1296	1265
506	1298	1262
507	1300	1259
508	1302	1256
509	1304	1253
510	1306	1250
511	1308	1246
512	1310	1243
513	1312	1240
514	1314	1237
515	1316	1234
516	1318	1231
517	1320	1228
518	1322	1225
519	1324	1222
520	1326	1219
521	1328	1216
522	1330	1213
523	1332	1210
524	1334	1207
525	1336	1204
526	1338	1201
527	1340	1198
528	1342	1195
529	1344	1192
530	1346	1189
531	1348	1186
532	1350	1182
533	1351	1179
534	1353	1176
535	1355	1173
536	1357	1170
537	1359	1167
538	1361	1164
539	1363	1161
540	1365	1158
541	1367	1155
542	1369	1152
543	1371	1149
544	1373	1146
545	1375	1143
546	1377	1140
547	1379	1137
548	1380	1134
549	1382	1131
550	1384	1128
551	1386	1125
552	1388	1122
553	1390	1119
554	1392	1116
555	1394	1113
556	1396	1110
557	1398	1107
558	1400	1104
559	1402	1101
560	1404	1098
561	1406	1096
562	1408	1093
563	1410	1090
564	1412	1087
565	1414	1084
566	1416	1081
567	1418	1078
568	1420	1076
569	1422	1073
570	1424	1070
571	1426	1067
572	1428	1064
573	1430	1061
574	1432	1058
575	1434	1055
576	1436	1053
577	1438	1050
578	1440	1047
579	1442	1044
580	1444	1041
581	1446	1038
582	1448	1035
583	1450	1033
584	1452	1030
585	1454	1027
586	1456	1024
587	1458	1021
588	1460	1019
589	1463	1016
590	1464	1013
591	1467	1011
592	1469	1008
593	1471	1005
594	1473	1002
595	1475	999
596	1477	997
597	1479	994
598	1481	991
599	1483	988
600	1485	986
601	1487	983
602	1489	980
603	1491	977
604	1493	974
605	1495	972
606	1497	969
607	1499	966
608	1501	963
609	1503	961
610	1505	958
611	1507	955
612	1509	952
613	1511	950
614	1513	947
615	1515	944
616	1516	941
617	1518	938
618	1520	935
619	1522	933
620	1524	930
621	1526	927
622	1528	924
623	1530	922
624	1532	919
625	1534	916
626	1536	914
627	1538	911
628	1541	908
629	1543	906
630	1544	903
631	1546	900
632	1548	897
633	1551	895
634	1553	892
635	1555	890
636	1558	888
637	1560	885
638	1562	882
639	1564	880
640	1566	877
641	1568	874
642	1571	872
643	1573	869
644	1575	867
645	1577	864
646	1579	861
647	1581	859
648	1584	856
649	1587	854
650	1589	852
651	1591	849
652	1593	846
653	1595	844
654	1597	841
655	1600	839
656	1602	836
657	1604	834
658	1607	831
659	1608	828
660	1610	826
661	1612	823
662	1615	821
663	1617	818
664	1619	816
665	1621	813
666	1623	810
667	1625	807
668	1627	805
669	1629	802
670	1632	800
671	1634	797
672	1636	795
673	1638	792
674	1640	789
675	1642	787
676	1644	784
677	1646	782
678	1648	779
679	1650	776
680	1652	774
681	1654	771
682	1656	768
683	1658	766
684	1660	763
685	1662	761
686	1664	758
687	1666	755
688	1668	753
689	1670	750
690	1672	747
691	1676	746
692	1679	743
693	1681	741
694	1683	738
695	1685	736
696	1687	733
697	1690	731
698	1692	728
699	1694	726
700	1696	723
701	1697	720
702	1699	718
703	1701	715
704	1703	712
705	1705	710
706	1707	707
707	1708	704
708	1710	702
709	1712	699
710	1714	696
711	1716	694
712	1718	691
713	1720	689
714	1722	686
715	1723	683
716	1725	681
717	1727	678
718	1729	675
719	1731	673
720	1733	670
721	1735	668
722	1737	665
723	1739	663
724	1741	660
